state,sex,min_age,max_age,population
Kansas,F,5,9.0,96529
Kentucky,F,5,9.0,134496
Louisiana,F,5,9.0,147923
Maine,F,5,9.0,33018
Maryland,F,5,9.0,181518
Massachusetts,F,5,9.0,180889
Michigan,F,5,9.0,286309
Minnesota,F,5,9.0,176028
Mississippi,F,5,9.0,94881
Missouri,F,5,9.0,184329
Montana,F,5,9.0,30851
Nebraska,F,5,9.0,64613
Nevada,F,5,9.0,93606
New Hampshire,F,5,9.0,33823
New Jersey,F,5,9.0,260999
New Mexico,F,5,9.0,66091
New York,F,5,9.0,546814
North Carolina,F,5,9.0,308254
North Dakota,F,5,9.0,24581
Ohio,F,5,9.0,345651
Oklahoma,F,5,9.0,130918
Oregon,F,5,9.0,118327
Pennsylvania,F,5,9.0,354816
Rhode Island,F,5,9.0,26782
South Carolina,F,5,9.0,151075
South Dakota,F,5,9.0,29538
Tennessee,F,5,9.0,201945
Texas,F,5,9.0,1004464
Utah,F,5,9.0,126336
Vermont,F,5,9.0,15057
Virginia,F,5,9.0,250980
Washington,F,5,9.0,228542
West Virginia,F,5,9.0,49275
Wisconsin,F,5,9.0,170882
Wyoming,F,5,9.0,18440
Alabama,M,10,14.0,158277
Alaska,M,10,14.0,25640
Arizona,M,10,14.0,242893
Arkansas,M,10,14.0,102639
California,M,10,14.0,1302096
Colorado,M,10,14.0,186758
Connecticut,M,10,14.0,110797
Delaware,M,10,14.0,29050
District of Columbia,M,10,14.0,14294
Florida,M,10,14.0,614857
Georgia,M,10,14.0,370414
Hawaii,M,10,14.0,42015
Idaho,M,10,14.0,67045
Illinois,M,10,14.0,417638
Indiana,M,10,14.0,229513
Iowa,M,10,14.0,106620
Kansas,M,10,14.0,102461
Kentucky,M,10,14.0,145800
Louisiana,M,10,14.0,156528
Maine,M,10,14.0,37533
Maryland,M,10,14.0,193072
Massachusetts,M,10,14.0,198363
Michigan,M,10,14.0,316658
Minnesota,M,10,14.0,188539
Mississippi,M,10,14.0,105853
Missouri,M,10,14.0,199951
Montana,M,10,14.0,33564
Nebraska,M,10,14.0,68401
Nevada,M,10,14.0,100465
New Hampshire,M,10,14.0,38839
New Jersey,M,10,14.0,284652
New Mexico,M,10,14.0,71253
New York,M,10,14.0,571154
North Carolina,M,10,14.0,338549
North Dakota,M,10,14.0,24421
Ohio,M,10,14.0,376608
Oklahoma,M,10,14.0,137799
Oregon,M,10,14.0,127567
Pennsylvania,M,10,14.0,386299
Rhode Island,M,10,14.0,30007
South Carolina,M,10,14.0,162322
South Dakota,M,10,14.0,31126
Tennessee,M,10,14.0,219299
Texas,M,10,14.0,1067140
Utah,M,10,14.0,137356
Vermont,M,10,14.0,17357
Virginia,M,10,14.0,269658
Washington,M,10,14.0,236947
West Virginia,M,10,14.0,53719
Wisconsin,M,10,14.0,188956
Wyoming,M,10,14.0,20078
Alabama,F,10,14.0,152218
Alaska,F,10,14.0,24119
Arizona,F,10,14.0,233528
Arkansas,F,10,14.0,98147
California,F,10,14.0,1245877
Colorado,F,10,14.0,178620
Connecticut,F,10,14.0,107100
Delaware,F,10,14.0,28604
District of Columbia,F,10,14.0,14279
Florida,F,10,14.0,591390
Georgia,F,10,14.0,357344
Hawaii,F,10,14.0,39939
Idaho,F,10,14.0,63991
Illinois,F,10,14.0,401510
Indiana,F,10,14.0,219077
Iowa,F,10,14.0,101944
Kansas,F,10,14.0,97985
Kentucky,F,10,14.0,139988
Louisiana,F,10,14.0,150830
Maine,F,10,14.0,35702
Maryland,F,10,14.0,185434
Massachusetts,F,10,14.0,190779
Michigan,F,10,14.0,302764
Minnesota,F,10,14.0,182113
Mississippi,F,10,14.0,101074
Missouri,F,10,14.0,191989
Montana,F,10,14.0,31717
Nebraska,F,10,14.0,65081
Nevada,F,10,14.0,96557
New Hampshire,F,10,14.0,37275
New Jersey,F,10,14.0,273962
New Mexico,F,10,14.0,68688
New York,F,10,14.0,546716
North Carolina,F,10,14.0,325659
North Dakota,F,10,14.0,23227
Ohio,F,10,14.0,361179
Oklahoma,F,10,14.0,132311
Oregon,F,10,14.0,121647
Pennsylvania,F,10,14.0,368934
Rhode Island,F,10,14.0,28814
South Carolina,F,10,14.0,157232
South Dakota,F,10,14.0,29756
Tennessee,F,10,14.0,210815
Texas,F,10,14.0,1024279
Utah,F,10,14.0,129443
Vermont,F,10,14.0,16404
Virginia,F,10,14.0,258704
Washington,F,10,14.0,225855
West Virginia,F,10,14.0,50669
Wisconsin,F,10,14.0,180392
Wyoming,F,10,14.0,19026
Alabama,M,15,19.0,159983
Alaska,M,15,19.0,24307
Arizona,M,15,19.0,242159
Arkansas,M,15,19.0,101355
California,M,15,19.0,1299512
Colorado,M,15,19.0,187092
Connecticut,M,15,19.0,123527
Delaware,M,15,19.0,30580
District of Columbia,M,15,19.0,17535
Florida,M,15,19.0,617476
Georgia,M,15,19.0,370712
Hawaii,M,15,19.0,39834
Idaho,M,15,19.0,63608
Illinois,M,15,19.0,423161
Indiana,M,15,19.0,233424
Iowa,M,15,19.0,109472
Kansas,M,15,19.0,103483
Kentucky,M,15,19.0,147378
Louisiana,M,15,19.0,150906
Maine,M,15,19.0,39783
Maryland,M,15,19.0,194403
Massachusetts,M,15,19.0,228766
Michigan,M,15,19.0,333720
Minnesota,M,15,19.0,182657
Mississippi,M,15,19.0,105043
Missouri,M,15,19.0,200923
Montana,M,15,19.0,33236
Nebraska,M,15,19.0,67230
Nevada,M,15,19.0,93407
New Hampshire,M,15,19.0,43267
New Jersey,M,15,19.0,285910
New Mexico,M,15,19.0,70927
New York,M,15,19.0,603879
North Carolina,M,15,19.0,347988
North Dakota,M,15,19.0,24564
Ohio,M,15,19.0,389941
Oklahoma,M,15,19.0,135937
Oregon,M,15,19.0,126691
Pennsylvania,M,15,19.0,413162
Rhode Island,M,15,19.0,35539
South Carolina,M,15,19.0,165420
South Dakota,M,15,19.0,29967
